log10_mass_g,biomass_Pg,phi,log10_abundance_proxy
-13.5,2.51127700377395,2.5247297918447313,28.89989461975211
-12.5,2.4877306231364202,2.5010572743978914,27.8958033522169
-11.5,1.956833894080409,1.9673165575329972,26.791553962118932
-10.5,1.1044286923482969,1.110345062830376,25.543137680805575
-9.5,1.133695599195618,1.1397687510660952,24.554496460786126
-8.5,1.0745977300207201,1.0803542974967837,23.531245918830372
-7.5,0.985728753817866,0.9910092545354128,22.49375742515779
-6.5,0.985728753817866,0.9910092545354128,21.49375742515779
-5.5,0.7011422286064248,0.7048982132288869,20.345806124719154
-4.5,0.67901729799711,0.682654760448533,19.331880838093465
-3.5,0.67901729799711,0.682654760448533,18.331880838093465
-2.5,1.0334716506748538,1.0390079077555328,17.514298567925728
-1.5,1.062950995609362,1.0686451720988808,16.526513243049152
-0.5,1.062950995609362,1.0686451720988808,15.52651324304915
0.5,0.7214093606886598,0.7252739153463251,14.358181773231937
1.5,0.8913687569520078,0.8961437757819379,13.450057407716129
2.5,0.873681149991303,0.8783614171759292,12.441352965741435
3.5,0.844201805056795,0.8487241528325812,11.426446276419867
4.5,0.850126679033395,0.8546807660692602,10.429483645603648
5.5,0.57,0.5730534621186041,9.255874855672491
6.5,0.48,0.48257133652092976,8.181241237375588
7.5,0.123434169,0.124095399805584,6.591435397574394
8.5,0.0646532,0.0649995440299062,5.310590025085693
