resource,lo,hi,selected_n,paired_n,train_n,evaluation_n,missing_fraction,d_train,alpha_predicted,alpha_evaluation,gap,spectrum_slope,phi_min,phi_max,d_train_ci,alpha_evaluation_ci,gap_ci,spectrum_slope_ci,bootstrap_B,valid_slope_bootstraps
integrated_irrad_end,1e-06,0.001,9564,8254,2142,6112,0.13697197825177754,1.0454345693343985,2.0454345693343985,1.5653494227423768,-0.4800851465920217,0.05966067032022047,0.14011996699391216,1.6310785379460235,,,,,,
integrated_irrad_end,5e-06,0.001,3600,3161,463,2698,0.12194444444444441,1.0206728568374617,2.0206728568374617,2.211183196491895,0.1905103396544332,-0.23636933529184717,0.38921068946806603,1.4606048792009259,,,,,,
integrated_irrad_end,1e-05,0.001,1509,1357,189,1168,0.10072895957587802,0.8576273512893057,1.8576273512893056,2.239128905943169,0.3815015546538634,-0.23254380846145098,0.5068552360965002,1.5248477577813198,"[np.float64(0.6974517083578181), np.float64(1.0541650880706748)]","[np.float64(2.084977511977884), np.float64(2.3987913863434223)]","[np.float64(0.12464292025706575), np.float64(0.6200978383897412)]","[np.float64(-0.6175081103204765), np.float64(-0.02982045977219789)]",600.0,581.0
integrated_irrad_end,3e-05,0.001,388,361,48,313,0.06958762886597936,0.28644063127429426,1.2864406312742942,2.2465584455605665,0.9601178142862723,-0.3493995296647291,0.48260855879637754,1.4127060829997116,,,,,,
integrated_irrad_peak,1e-06,0.001,9564,9564,2473,7091,0.0,1.0046482839423256,2.0046482839423256,1.5740674066863551,-0.4305808772559705,-0.009007237659127022,0.16233544470233055,1.855108725616188,,,,,,
integrated_irrad_peak,5e-06,0.001,3600,3600,511,3089,0.0,0.9710885023994655,1.9710885023994655,2.245229376809957,0.2741408744104916,-0.3080483079197821,0.3694803708953635,1.6962002769610696,,,,,,
integrated_irrad_peak,1e-05,0.001,1509,1509,203,1306,0.0,0.8622153234244232,1.8622153234244232,2.2735705676437714,0.4113552442193482,-0.3043518288953864,0.47883341366485377,1.7192221368462102,"[np.float64(0.7589920105629329), np.float64(0.9900428646788692)]","[np.float64(2.1166154063003213), np.float64(2.4391713565026705)]","[np.float64(0.20818786993210509), np.float64(0.604147594144831)]","[np.float64(-0.6978583047593272), np.float64(-0.10568807346838666)]",600.0,572.0
integrated_irrad_peak,3e-05,0.001,388,388,48,340,0.0,0.5031335340387917,1.5031335340387917,2.291230872961501,0.7880973389227093,-0.38686422633563683,0.5069014653529896,1.5079275219087471,,,,,,
