lower,upper,center,log_width,count,weighted_count,mean_resource,resource_sum,multiplicity_log,occupancy,phi,magnitude_center
9440608762859.266,53088444423099.01,22387211385683.484,1.7269388197455342,4563,4563.0,21678857895303.727,9.892062857627091e+16,2642.247627899384,5.728091084943411e+16,0.09832335802565012,5.7
53088444423099.01,298538261891796.94,125892541179417.66,1.7269388197455342,1397,1397.0,118222864741731.4,1.651573420441988e+17,808.9458549584571,9.563589639413795e+16,0.16416014238987445,6.2
298538261891796.94,1678804018122565.8,707945784384138.1,1.7269388197455342,451,451.0,717289701923583.0,3.2349765556753594e+17,261.15574845115543,1.8732432896215952e+17,0.32154441663601846,6.7
1678804018122565.8,9440608762859264.0,3981071705535001.5,1.7269388197455342,154,154.0,3644761412149157.5,5.6129325747097024e+17,89.17513361746771,3.250220859321914e+17,0.5579042380341301,7.2
9440608762859264.0,5.308844442309901e+16,2.23872113856834e+16,1.7269388197455342,60,60.0,2.1509952320868668e+16,1.29059713925212e+18,34.74355855226015,7.473322879164246e+17,1.2828046729578284,7.7
5.308844442309901e+16,2.985382618917945e+17,1.2589254117941674e+17,1.726938819745527,11,11.0,1.1723274949342296e+17,1.2895602444276526e+18,6.36965240124772,7.46731864315654e+17,1.2817740387763854,8.2
2.985382618917945e+17,1.678804018122552e+18,7.079457843841379e+17,1.7269388197455342,2,2.0,7.505936168136358e+17,1.5011872336272717e+18,1.1581186184086716,8.692764424905757e+17,1.4921232503255264,8.7
1.678804018122552e+18,9.440608762859188e+18,3.981071705534944e+18,1.7269388197455342,1,1.0,2.8183829312644495e+18,2.8183829312644495e+18,0.5790593092043358,1.6320108732512832e+18,2.801365882854586,9.2
